Symbol,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
WAT,Healthcare,Diagnostics & Research,"7,900",14.6,0.055999999999999994,0.12804878048780485,0.3410138248847926,None Controversy Level,,10th percentile,Low
TJX,Consumer Cyclical,Apparel Retail,"349,000",14.4,0.076,0.10975609756097562,0.31797235023041476,Moderate Controversy Level,2.0,10th percentile,Low
TGT,Consumer Defensive,Discount Stores,"415,000",14.4,0.076,0.11585365853658539,0.31336405529953915,Significant Controversy Level,3.0,10th percentile,Low
SNPS,Technology,Software - Infrastructure,"20,300",14.4,0.132,0.07317073170731711,0.28110599078341014,None Controversy Level,,10th percentile,Low
RL,Consumer Cyclical,Apparel Manufacturing,"14,800",14.6,0.048,0.15853658536585366,0.3225806451612903,Moderate Controversy Level,2.0,10th percentile,Low
JCI,Industrials,Building Products & Equipment,"100,000",14.4,0.18,0.1463414634146342,0.17511520737327188,Significant Controversy Level,3.0,10th percentile,Low
IRM,Real Estate,REIT - Specialty,"27,000",14.5,0.2,0.17073170731707318,0.1336405529953917,Moderate Controversy Level,2.0,10th percentile,Low
CTSH,Technology,Information Technology Services,"344,400",14.7,0.044000000000000004,0.17682926829268295,0.31336405529953915,Moderate Controversy Level,2.0,10th percentile,Low
TEL,Technology,Electronic Components,"85,000",14.8,0.23199999999999998,0.0975609756097561,0.16589861751152074,None Controversy Level,,11th percentile,Low
TPR,Consumer Cyclical,Luxury Goods,"12,600",14.8,0.044000000000000004,0.13414634146341467,0.35944700460829493,Moderate Controversy Level,2.0,11th percentile,Low
CRM,Technology,Software - Application,"72,682",14.9,0.08,0.1463414634146342,0.3087557603686636,Low Controversy Level,1.0,11th percentile,Low
PARA,Communication Services,Entertainment,"21,900",15.0,0.004,0.2682926829268293,0.3087557603686636,Significant Controversy Level,3.0,11th percentile,Low
MSFT,Technology,Software - Infrastructure,"221,000",15.1,0.06,0.1890243902439024,0.3087557603686636,Significant Controversy Level,3.0,11th percentile,Low
JNPR,Technology,Communication Equipment,"11,144",14.8,0.07200000000000001,0.17073170731707318,0.29493087557603687,Low Controversy Level,1.0,11th percentile,Low
JBHT,Industrials,Integrated Freight & Logistics,"34,718",14.8,0.132,0.12195121951219515,0.2672811059907834,Low Controversy Level,1.0,11th percentile,Low
CAH,Healthcare,Medical Distribution,"47,040",14.9,0.048,0.20731707317073175,0.2995391705069124,Significant Controversy Level,3.0,11th percentile,Low
UNH,Healthcare,Healthcare Plans,"440,000",15.3,0.0,0.15853658536585366,0.41013824884792627,Significant Controversy Level,3.0,12th percentile,Low
TT,Industrials,Building Products & Equipment,"40,000",15.2,0.17600000000000002,0.12804878048780485,0.22580645161290325,Moderate Controversy Level,2.0,12th percentile,Low
QCOM,Technology,Semiconductors,"50,000",15.4,0.212,0.15853658536585366,0.17050691244239632,Significant Controversy Level,3.0,12th percentile,Low
NTAP,Technology,Computer Hardware,,15.4,0.08800000000000001,0.1524390243902439,0.31797235023041476,Low Controversy Level,1.0,12th percentile,Low
MCK,Healthcare,Medical Distribution,"45,000",15.2,0.064,0.20121951219512194,0.2995391705069124,Significant Controversy Level,3.0,12th percentile,Low
EXR,Real Estate,REIT - Industrial,"7,618",15.2,0.168,0.2621951219512195,0.1336405529953917,Low Controversy Level,1.0,12th percentile,Low
ULTA,Consumer Cyclical,Specialty Retail,"20,000",15.6,0.16399999999999998,0.07926829268292682,0.2995391705069124,Moderate Controversy Level,2.0,13th percentile,Low
DIS,Communication Services,Entertainment,"173,250",15.7,0.0,0.22560975609756098,0.37788018433179726,Moderate Controversy Level,2.0,13th percentile,Low
O,Real Estate,REIT - Retail,418,15.5,0.17600000000000002,0.16463414634146342,0.2073732718894009,Moderate Controversy Level,2.0,13th percentile,Low
GWW,Industrials,Industrial Distribution,"23,200",16.0,0.18,0.17682926829268295,0.22119815668202764,Moderate Controversy Level,2.0,14th percentile,Low
